method,coverage,n_accepted,representational_precision,causal_precision
j_lens,0.05,1176,0.6326530612244898,0.5892857142857143
j_lens,0.1,2352,0.5607993197278912,0.46471088435374147
j_lens,0.25,5880,0.483843537414966,0.3054421768707483
j_lens,0.5,11760,0.4094387755102041,0.20110544217687074
j_lens,1.0,23520,0.26071428571428573,0.12448979591836734
r_lens,0.05,1176,0.5569727891156463,0.5144557823129252
r_lens,0.1,2352,0.5280612244897959,0.4281462585034014
r_lens,0.25,5880,0.4697278911564626,0.2931972789115646
r_lens,0.5,11760,0.3986394557823129,0.20858843537414967
r_lens,1.0,23520,0.26071428571428573,0.12448979591836734
logit_lens,0.05,1176,0.5994897959183674,0.4557823129251701
logit_lens,0.1,2352,0.5756802721088435,0.38477891156462585
logit_lens,0.25,5880,0.4443877551020408,0.29846938775510207
logit_lens,0.5,11760,0.3238095238095238,0.19957482993197279
logit_lens,1.0,23520,0.26071428571428573,0.12448979591836734
