variable_type,layer,position,n_train,n_val,n_test,n_classes,chance,best_C,val_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_cross_entropy,test_macro_auroc,null_mean,null_q95,null_max,bootstrap_lo,bootstrap_hi,n_permutations,n_features,families,notes
z1,0,-1,700,280,420,3,0.3333333333333333,1.0,0.8942460317460318,0.8690476190476191,0.8696296886480935,0.371760295615987,0.9687688070559438,0.347213484538638,0.4131324134041049,0.4379954547351568,0.8112421031844067,0.9180379014570685,50,699,demo_two_step,
z1,5,-1,700,280,420,3,0.3333333333333333,0.3,0.8426190476190477,0.7619047619047619,0.7709276311379729,0.688696429705384,0.9238887780312148,0.3335629767058339,0.420477885149226,0.4408041855894616,0.7077275040108642,0.8393647245975228,50,699,demo_two_step,
z1,10,-1,700,280,420,3,0.3333333333333333,0.03,0.8814682539682539,0.8380952380952381,0.8381806040877032,0.36821822837805895,0.9644384118174498,0.34027751409171214,0.41555783198202123,0.43680766599259147,0.7760379739631086,0.8925682175725741,50,699,demo_two_step,
z1,15,-1,700,280,420,3,0.3333333333333333,1.0,0.9315079365079365,0.9547619047619048,0.9580616481580547,0.10970454430902454,0.9967958260844383,0.3535960051244889,0.4261345962441492,0.44182162175150785,0.9312205438488377,0.9816617196683581,50,699,demo_two_step,
z1,20,-1,700,280,420,3,0.3333333333333333,1.0,0.9890873015873015,0.9809523809523809,0.982749746115215,0.07408091405525066,0.9981028736554197,0.3586152801332469,0.43592065642021816,0.4594220659076049,0.9650774572649573,0.9956471720214191,50,699,demo_two_step,
z1,25,-1,700,280,420,3,0.3333333333333333,0.1,0.9892261904761904,0.9380952380952381,0.941838442013727,0.1455825407608355,0.9956703887564831,0.34523671673540207,0.42038070070935973,0.4627780243906449,0.9037769346319097,0.9754322546283124,50,699,demo_two_step,
z1,30,-1,700,280,420,3,0.3333333333333333,0.1,0.9789484126984127,0.9142857142857143,0.9162393940658621,0.20120994164473435,0.9912049122373654,0.3509466494164128,0.4290471384686985,0.46886265939727817,0.873068689436504,0.9502490787052648,50,699,demo_two_step,
z2,0,-1,700,280,420,3,0.3333333333333333,0.1,0.8969582721734185,0.919047619047619,0.9181718858077094,0.22694951024559723,0.9842834500618706,0.34787304282210896,0.4187653272967364,0.46590658995158146,0.882157487727859,0.9469665586898179,50,699,demo_two_step,
z2,5,-1,700,280,420,3,0.3333333333333333,0.01,0.6406475210261785,0.5833333333333334,0.5799534678991385,0.8548494145231156,0.8097983784099897,0.3329869364270892,0.38323743947682826,0.40500220084260824,0.5192964335519756,0.6482919641954207,50,699,demo_two_step,
z2,10,-1,700,280,420,3,0.3333333333333333,1.0,0.8752677169200406,0.8595238095238096,0.8555461233729486,0.5581756375338545,0.9539065668187443,0.33624300446456645,0.3864029192605169,0.39455212852920835,0.8043015601610632,0.8999319834510564,50,699,demo_two_step,
z2,15,-1,700,280,420,3,0.3333333333333333,0.1,0.9690135516297306,0.9619047619047619,0.9609664843111364,0.09347526629993243,0.9976238343334728,0.34117273470414383,0.3978486763503741,0.48251509149217137,0.9348289399657034,0.9829284264190717,50,699,demo_two_step,
z2,20,-1,700,280,420,3,0.3333333333333333,0.003,1.0,1.0,1.0,0.02351965274609435,1.0,0.3483823020813683,0.45139557001823544,0.5395051248192164,1.0,1.0,50,699,demo_two_step,
z2,25,-1,700,280,420,3,0.3333333333333333,0.003,1.0,1.0,1.0,0.034386514170567435,1.0,0.3484022668678866,0.4575076243476074,0.47772432874300447,1.0,1.0,50,699,demo_two_step,
z2,30,-1,700,280,420,3,0.3333333333333333,0.1,0.9931972789115647,0.9952380952380953,0.9953703703703703,0.018657139965040908,1.0,0.32697242658617864,0.4332553213230208,0.5032580330755203,0.981016548463357,1.0,50,699,demo_two_step,
answer,0,-1,700,280,420,12,0.08333333333333333,0.003,0.27675461810661056,0.3142857142857143,0.31920608884367957,1.9020536009363787,0.8376466963564294,0.08529297350389681,0.11379227329984477,0.13603009777578742,0.267163976371513,0.375223955929893,50,699,demo_two_step,
answer,5,-1,700,280,420,12,0.08333333333333333,0.003,0.24165055725776788,0.2261904761904762,0.2343498492120316,2.1697949160880112,0.7768976837402618,0.07840366369688058,0.10764876876350331,0.12871944822375855,0.18087394809252744,0.2928555286658798,50,699,demo_two_step,
answer,10,-1,700,280,420,12,0.08333333333333333,0.003,0.22519454735299138,0.26904761904761904,0.26865691479745474,2.0647057407253557,0.7875187593629436,0.07869221567213854,0.1057670772216768,0.10729968326951085,0.22044086590239134,0.3152136699701833,50,699,demo_two_step,
